"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"221","의료기기수리업","01_02_02_P","6530000","201164200006000017","2010-01-28","","03","폐업","3","폐업","2012-04-13","","","","0335537772","","","강원특별자치도 태백시 황지동  29번지 44호","강원특별자치도 태백시 번영로 367 (황지동)","","엘지태백서비스","2012-04-13 10:23:07","I","2023-06-13 00:00:00","","376980.885838081","409642.082139912","의료용물질생성기, 의료용진동기","N","","",
"222","의료기기수리업","01_02_02_P","6530000","201164200006000019","2009-08-04","","03","폐업","3","폐업","2014-01-16","","","","0336535505","","","강원특별자치도 강릉시 포남동  1069번지 27호","강원특별자치도 강릉시 강릉대로457번길 21 (포남동)","","위니아서비스강릉점","2014-01-18 09:40:34","I","2023-06-13 00:00:00","","368309.798504914","476457.190075262","의료용물질생성기","N","","",
"223","의료기기수리업","01_02_02_P","6530000","201664200006000008","2016-06-19","","03","폐업","3","폐업","2016-12-12","","","","0337658111","","","강원특별자치도 원주시 명륜동  826번지 7호","강원특별자치도 원주시 소방서길 40-1 (명륜동)","","원주장애인보장구센터","2016-12-16 14:29:30","I","2023-06-13 00:00:00","","283571.970434234","425606.260475012","전동휠체어, 전동스쿠터, 수동휠체어, 의수족, 보청기 등","Y","","",
"224","의료기기수리업","01_02_02_P","6530000","201664200006000012","2016-11-14","","03","폐업","3","폐업","2018-01-05","","","","0337363333","","","강원특별자치도 원주시 반곡동  1894번지 6호 국민건강보험공단","강원특별자치도 원주시 건강로 32-0 (반곡동,국민건강보험공단)","","국민건강보험 원주 보장구센터","2018-01-16 16:22:30","I","2023-06-13 00:00:00","","287375.694386784","425188.079333502","전동휠체어, 수동휠체어, 전동스쿠터","N","","",
"225","의료기기수리업","01_02_02_P","6530000","201164200006000037","2011-07-08","","03","폐업","3","폐업","2015-03-30","","","","","","","강원특별자치도 춘천시 효자동  301번지 1호","강원특별자치도 춘천시 공지로 245 (효자동)","","메디프로","2015-03-30 14:34:02","I","2023-06-13 00:00:00","","264740.192592919","484848.552292269","내장기능검사용 기기(심전도감시기)","Y","","",
"226","의료기기수리업","01_02_02_P","6530000","201164200006000038","2011-09-15","","03","폐업","3","폐업","","","","","0337444747","","","강원특별자치도 원주시 중앙동  14번지 3호","강원특별자치도 원주시 원일로 144 (중앙동)","","국제보청기.의료기","2014-03-18 15:31:11","I","2023-06-13 00:00:00","","283872.859403819","428157.404951786","환자 운반차수리","Y","","",
"227","의료기기수리업","01_02_02_P","6530000","201264200006000006","2012-02-27","","03","폐업","3","폐업","2019-06-30","","","","","","","강원특별자치도 속초시 조양동  1504번지 1호","강원특별자치도 속초시 동해대로 4109 (조양동)","","(주)엘지속초서비스","2019-05-29 17:56:50","I","2023-06-13 00:00:00","","338760.846320217","521887.227991687","정형용기기,의료용물질생성기","N","","",
"228","의료기기수리업","01_02_02_P","6530000","201264200006000008","2012-04-03","","03","폐업","3","폐업","","","","","","","","강원특별자치도 춘천시 석사동  880번지 2호","강원특별자치도 춘천시 퇴계농공로 16 (석사동)","","(주)웨이전스","2015-11-25 10:09:40","I","2023-06-13 00:00:00","","265437.172871451","483509.080694154","의료영상진단기기","Y","","",
"229","의료기기수리업","01_02_02_P","6530000","201264200006000010","2012-04-11","","03","폐업","3","폐업","2019-04-30","","","","0335317733","","","강원특별자치도 동해시 천곡동  1015번지","강원특별자치도 동해시 중앙로 207 (천곡동)","","(주)엘지동해서비스","2019-05-29 17:55:14","I","2023-06-13 00:00:00","","386935.841250548","448422.445797183","의료용물질생성기,의료용진동기","N","","",
"230","의료기기수리업","01_02_02_P","6530000","201264200006000011","2012-04-13","","03","폐업","3","폐업","2019-04-30","","","","0335537772","","","강원특별자치도 태백시 황지동  29번지 44호","강원특별자치도 태백시 번영로 367 (황지동)","","(주)엘지태백서비스","2019-05-29 17:54:44","I","2023-06-13 00:00:00","","376980.885838081","409642.082139912","의료용물질생성기,의료용진동기","N","","",
"231","의료기기수리업","01_02_02_P","6530000","201264200006000013","2012-05-03","","03","폐업","3","폐업","2017-03-20","","","","","","","강원특별자치도 원주시 태장동  112번지 6호","강원특별자치도 원주시 육판길 64 (태장동)","","현메디칼","2017-03-28 13:42:15","I","2023-06-13 00:00:00","","285208.994551915","428593.62011427","일반기기(의료용조명기,흡인기,필름현상기,필름판독장치),진료대,환자운반차,판금물(의료용소독기,무균수장치,의료용챔버,정온기)주사침및 전자침,정형용기기,의료용자기발생기,정형용품,부목","N","","",
"232","의료기기수리업","01_02_02_P","6530000","201164200006000029","2011-03-15","","03","폐업","3","폐업","2012-04-06","","","","0336413002","","","강원특별자치도 강릉시 포남동  1171번지 14호","강원특별자치도 강릉시 경강로 2279 (포남동)","","원강메디텍","2012-04-06 15:49:49","I","2023-06-13 00:00:00","","368316.978425146","475518.832948554","환자운반차","Y","","",
"233","의료기기수리업","01_02_02_P","6530000","201164200006000031","2010-03-11","","03","폐업","3","폐업","","","","","0337468639","","","강원특별자치도 원주시 관설동  1745번지 2호","강원특별자치도 원주시 단관길 158 (관설동)","","위니아서비스 원주점","2012-03-21 09:39:46","I","2023-06-13 00:00:00","","285191.786325835","424553.654764097","의료용물질생성기","Y","","",
"234","의료기기수리업","01_02_02_P","6530000","201164200006000032","2011-04-14","","03","폐업","3","폐업","2019-09-02","","","","","","","강원특별자치도 원주시 단계동  888번지 7호","강원특별자치도 원주시 이화5길 31 (단계동)","","(주)메디피아","2019-09-27 17:11:28","I","2023-06-13 00:00:00","","282477.405747568","427018.880915741","초음파진단기","Y","","",
"235","의료기기수리업","01_02_02_P","6530000","201364200006000006","2013-06-14","","03","폐업","3","폐업","2017-07-03","","","","0337651226","","","강원특별자치도 원주시 판부면 서곡리 2018번지 1호","강원특별자치도 원주시 판부면 오성마을길 37-7","","(주)대세엠.케어","2017-07-03 10:11:47","I","2023-06-13 00:00:00","","284196.315071066","424483.15857269","전동휠체어, 수동휠체어 전동스쿠터","N","","",
"236","의료기기수리업","01_02_02_P","6530000","201164200006000014","2008-11-25","","03","폐업","3","폐업","2019-04-30","","","","0332526080","","","강원특별자치도 춘천시 퇴계동  1187번지 4호","강원특별자치도 춘천시 춘천로 18 (퇴계동)","","(주)춘천LGC","2019-05-29 17:54:18","I","2023-06-13 00:00:00","","263468.773897824","485111.058721645","의료용물질생성기, 정형용기기","N","","",
"237","의료기기수리업","01_02_02_P","6530000","201164200006000005","2005-04-22","","03","폐업","3","폐업","2015-11-25","","","","0337443600","","","강원특별자치도 원주시 문막읍 동화리 1665번지 3호","강원특별자치도 원주시 문막읍 동화공단로 101-3","","(주)서흥메가텍","2015-11-25 10:08:03","I","2023-06-13 00:00:00","","274369.069341935","425866.269572684","이학진료용기기","N","","",
"238","의료기기수리업","01_02_02_P","6530000","201164200006000003","2005-05-19","","01","영업/정상","BBBB","","","","","","0336552037","","","강원특별자치도 강릉시 포남동  1239번지 4호","강원특별자치도 강릉시 강릉대로 399 (포남동)","","아시아방사선","2015-11-09 13:59:18","I","2023-06-13 00:00:00","","368125.510806328","475891.810784707","방사선진료장치","N","","",
