"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사용목적","사용방법","월사용량","수용정원수","시설사용여부",
"229","특정고압가스업","09_28_14_P","4351000","2007435005012200007","2007-01-29","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 양양군 양양읍 임천리 387-1","강원특별자치도 양양군 양양읍 임천길 55-37","","남애정수장","2016-11-21 12:27:08","I","2023-06-13 00:00:00","","340259.178446941","509226.667291659","소독","상수도",".3","2","",
"230","특정고압가스업","09_28_14_P","4351000","2020435006912200001","2020-01-09","","01","영업/정상","1","사용중","","","","","","","","강원특별자치도 양양군 서면 북평리 230","강원특별자치도 양양군 서면 북평1길 23","25036","동방송어 양식장","2021-03-25 09:33:59","I","2023-06-13 00:00:00","","340630.313263516","508437.389243297","양식장 활어 산소공급용","고수온 대응 활어양식용 산소공급을 위해 액화산소(저장탱크)을 저장하여 대기식 기화기를 통해 기화시킨 후, 감압공정을 거쳐 배관을 통해 사용처에 보다 원활하고 안전하게 가스를 공급","6.9","5","",
"231","특정고압가스업","09_28_14_P","4181000","2019418032312200002","2019-04-24","","03","폐업","2","폐지","2020-12-11","","","","","","","강원특별자치도 춘천시 동내면 고은리 330-4","강원특별자치도 춘천시 동내면 고은길 71","24399","(주)창성철강","2021-12-23 16:19:26","I","2023-06-13 00:00:00","","268271.389201394","482455.629876944","용접 절단용","용기","150","0","",
"232","특정고압가스업","09_28_14_P","4181000","2019418032312200003","2019-04-24","","03","폐업","2","폐지","2022-05-17","","","","","","","강원특별자치도 춘천시 후평동 198-53","강원특별자치도 춘천시 소양강로 32 (후평동)","24232","대운하우징","2022-05-17 17:58:27","I","2025-04-02 13:21:48","","265331.3469315","487999.802568208","용접 절단용","용기

-> 사용량 감소(12m3)로 사용신고 폐지","150","0","",
"233","특정고압가스업","09_28_14_P","4181000","2007418035812200002","2007-03-27","","03","폐업","2","폐지","2024-10-14","","","","","","","강원특별자치도 춘천시 서면 당림리 167-1","강원특별자치도 춘천시 서면 샛말길 122-11","24463","춘천예현병원","2024-12-11 13:51:35","U","2024-12-13 02:40:00","","254245.483818577","483370.766177782","의료용 산소","의료용 산소 320kg","320","0","",
"234","특정고압가스업","09_28_14_P","4191000","2006419013302700001","2006-02-21","","03","폐업","2","폐지","2012-07-13","","","","033 7347700","","","강원특별자치도 원주시 태장동 1720-24","강원특별자치도 원주시 태장공단길 42-4  (태장동)","","(주)루보 원주공장(대표자:양창규)","2012-07-19 10:49:22","I","2023-06-13 00:00:00","","283943.692067417","434068.603079777","암모니아분해열처리","폐지","700","7","",
"235","특정고압가스업","09_28_14_P","4191000","2008419015312200001","2008-09-16","","03","폐업","2","폐지","2020-10-13","","","","","","","강원특별자치도 원주시 문막읍 반계리 5-12","강원특별자치도 원주시 문막읍 문막공단길 236","","토다이수(주)","2020-10-13 16:22:57","I","2023-06-13 00:00:00","","271582.284846753","422083.178386107","Metal Powder 공정","Metal Powder 공정","3000","4","",
"236","특정고압가스업","09_28_14_P","4191000","2016419024512200002","2016-03-29","","03","폐업","2","폐지","2018-12-14","","","","","","","","강원특별자치도 원주시 서원대로 387 (개운동)","","강원도 원주의료원","2018-12-14 17:02:05","I","2025-04-02 13:21:48","","284004.892022232","426080.573873519","의료용","액화산소 저장탱크를 설치하여 기화기를 통해 기화시켜 사용
저장탱크 4.9톤
기화기 100n㎥/hr 25A감압사용","5000","300","",
"237","특정고압가스업","09_28_14_P","4191000","2018419024512200002","2018-09-20","","03","폐업","2","폐지","2018-10-15","","","","","","","강원특별자치도 원주시 학성동 1023-68 원주카톨릭병원","강원특별자치도 원주시 남산로 199, 원주카톨릭병원 (학성동)","26412","원주카톨릭병원","2018-10-15 15:50:46","I","2023-06-13 00:00:00","","283316.518675463","428391.532010113","의료용","배관 및 용기","111.93","65","",
"238","특정고압가스업","09_28_14_P","4191000","2018419024512200003","2018-10-15","","03","폐업","2","폐지","2020-05-31","","","","","","","강원특별자치도 원주시 학성동 1023-68 원주카톨릭병원","강원특별자치도 원주시 남산로 199, 원주카톨릭병원 (학성동)","26412","원주가톨릭병원","2020-06-22 09:06:34","I","2023-06-13 00:00:00","","283316.518675463","428391.532010113","응급환자 및 수술후 회복 보조용","배관 및 용기","673.2","65","",
"239","특정고압가스업","09_28_14_P","4191000","2018419024512200005","2018-11-06","","03","폐업","2","폐지","2025-08-11","","","","","","","강원특별자치도 원주시 태장동 1403-5 민중병원","강원특별자치도 원주시 북원로 2636, 민중병원 (태장동)","26320","고색의료재단 원주민중요양병원","2025-08-11 16:43:23","U","2025-08-13 02:40:00","","283738.821268361","431142.506440562","입원환자 치료 및 회복 보조용","배관, 용기","1000","130","",
"240","특정고압가스업","09_28_14_P","4191000","2020419024512200001","2020-02-21","","03","폐업","2","폐지","2023-01-27","","","","","","","강원특별자치도 원주시 문막읍 반계리 5-42","강원특별자치도 원주시 문막읍 문막공단길 247, 한국유니온제약(주)","26362","한국유니온제약(주)","2023-07-17 10:49:14","U","2023-07-19 02:40:00","","271354.201219299","422209.413832417","제품생산","제품생산","700","20","",
"241","특정고압가스업","09_28_14_P","4191000","2021419024512200002","2021-07-30","","03","폐업","2","폐지","2024-01-25","","","","","","","강원특별자치도 원주시 문막읍 반계리 2255-7","강원특별자치도 원주시 문막읍 반산2로 98","26362","(주)가온기술","2024-01-25 16:08:11","U","2024-01-27 02:40:00","","270570.798884651","422009.494847697","분말 합성","분말 합성","1561","17","",
"242","특정고압가스업","09_28_14_P","4191000","1988419007902700001","1988-11-25","","03","폐업","2","폐지","","","","","033 7616911","","","강원특별자치도 원주시 개운동 437","강원특별자치도 원주시 서원대로 387 (개운동)","","원주의료원","2016-03-29 11:38:15","I","2023-06-13 00:00:00","","284004.892022232","426080.573873519","의료용","의료용","1000","1000","",
"243","특정고압가스업","09_28_14_P","4201000","2021420032612200004","2021-09-29","","03","폐업","2","폐지","2022-05-02","","","","","","","강원특별자치도 강릉시 대전동 899-1","강원특별자치도 강릉시 과학단지로 106-14 (대전동)","25440","(주)보부하이테크","2022-05-02 13:21:06","I","2023-06-13 00:00:00","","363438.234939537","479452.202673487","제품생산","제품생산","14","30","",
"244","특정고압가스업","09_28_14_P","4201000","2021420032612200005","2021-09-29","","03","폐업","2","폐지","2022-05-02","","","","","","","강원특별자치도 강릉시 대전동 899-1","강원특별자치도 강릉시 과학단지로 106-14 (대전동)","25440","(주)보부하이테크","2022-05-02 13:21:19","I","2023-06-13 00:00:00","","363438.234939537","479452.202673487","제품생산","제품생산","70","30","",
"245","특정고압가스업","09_28_14_P","4201000","2021420032612200007","2021-12-27","","03","폐업","2","폐지","2022-02-17","","","","","","","강원특별자치도 강릉시 대전동 902-5","강원특별자치도 강릉시 과학단지로 106-71 (대전동)","25451","(주)코본","2022-02-17 13:11:06","I","2023-06-13 00:00:00","","363615.542533891","479363.807605907","탄소나노튜브제조용","액화염소 용기","50","20","",
"246","특정고압가스업","09_28_14_P","4201000","1998420001902700002","1998-06-12","","03","폐업","2","폐지","2021-03-16","","","","033 6539120","","","강원특별자치도 강릉시 입암동 21-12","","","현대자동차(주)강릉영업소","2021-05-18 14:58:41","I","2023-06-13 00:00:00","","","","자동차 용접 및 절단","자동차 용접 및 절단","100","10","",
"247","특정고압가스업","09_28_14_P","4201000","1998420001902700004","1998-06-12","","03","폐업","2","폐지","2019-01-04","","","","033 5341588","","","강원특별자치도 강릉시 옥계면 낙풍리 495-2","","","옥계정수장","2022-02-17 16:06:11","I","2023-06-13 00:00:00","","","","소독","소독","100","4","",
"248","특정고압가스업","09_28_14_P","4201000","2011420011512200001","2011-12-21","","03","폐업","2","폐지","2019-09-16","","","","","","","강원특별자치도 강릉시 대전동 898-1","강원특별자치도 강릉시 과학단지로 160-40 (대전동)","","(재)강원테크노파크","2022-02-17 16:06:53","I","2023-06-13 00:00:00","","363511.356361271","479542.686610108","실험설비 열처리로 분위기가스","수소용기를 집합대로하여 사용","900","4","",
"249","특정고압가스업","09_28_14_P","4201000","2014420020712200001","2014-10-29","","03","폐업","2","폐지","2021-12-22","","","","","","","","강원특별자치도 강릉시 강변로604번길 2 (입암동)","","21세기기업(주)","2022-02-17 16:00:52","I","2023-06-13 00:00:00","","369580.620563712","475703.953283557","열처리 제품의 침탄질화용","열처리 제품의 침탄질화용","20","84","",
"250","특정고압가스업","09_28_14_P","4201000","2018420027012200001","2018-03-12","","03","폐업","2","폐지","2020-11-11","","","","","","","강원특별자치도 강릉시 주문진읍 교항리 산 326","","","국군강릉병원","2022-02-17 10:36:45","I","2023-06-13 00:00:00","","","","의료용산소",".","500","350","",
"251","특정고압가스업","09_28_14_P","4211000","2004421009302700001","2004-06-16","","03","폐업","2","폐지","2013-10-07","","","","033 5207200","","","강원특별자치도 동해시 효가동 363-8","강원특별자치도 동해시 동해대로 5143 (효가동)","","동해금강병원","2013-10-07 14:28:44","I","2023-06-13 00:00:00","","386195.709266966","446636.179304561","의료용","해당없음","1344","0","",
"252","특정고압가스업","09_28_14_P","4211000","2019421021512200001","2019-12-23","","03","폐업","2","폐지","2020-11-10","","","","","","","강원특별자치도 동해시 삼화동 200 쌍용양회동해공장","강원특별자치도 동해시 효자로 246, 쌍용양회동해공장 (삼화동)","25744","쌍용양회공업(주) 동해공장","2020-11-10 10:48:20","I","2023-06-13 00:00:00","","381789.813670765","444419.292367977","음용수소독및 산업용","용기형태","500","20","",
"253","특정고압가스업","09_28_14_P","4211000","2022421021512200001","2022-01-11","","03","폐업","2","폐지","2022-01-11","","","","","","","강원특별자치도 동해시 단봉동 450-1","강원특별자치도 동해시 강원남부로 4652-7 (단봉동)","25821","제23사단 보급수송대대","2022-02-09 15:14:24","I","2023-06-13 00:00:00","","387191.919782122","442385.540909647","용접","용접","500","20","",
"254","특정고압가스업","09_28_14_P","4211000","1981421009302700062","1981-09-11","","03","폐업","2","폐지","2019-12-23","","","","5201442","","","강원특별자치도 동해시 삼화동 200 쌍용양회동해공장","강원특별자치도 동해시 효자로 246 (삼화동,쌍용양회동해공장)","","쌍용양회공업(주)동해공장","2020-11-10 10:01:00","I","2023-06-13 00:00:00","","381789.813670765","444419.292367977","산업용","해당없음","500","0","",
"255","특정고압가스업","09_28_14_P","4211000","1987421009302700008","1987-12-24","","03","폐업","2","폐지","2025-07-30","","","","5302647","","","강원특별자치도 동해시 발한동 산 28","강원특별자치도 동해시 발한로 376 (발한동)","","사문정수장","2025-08-05 15:58:15","U","2025-08-07 02:40:00","","385738.931135325","453075.426611044","소독용","해당없음","200","0","",
"256","특정고압가스업","09_28_14_P","4211000","1987421009302700024","1987-09-02","","03","폐업","2","폐지","2025-07-30","","","","5302647","","","강원특별자치도 동해시 이도동 660-1","강원특별자치도 동해시 이원길 83-5 (이도동)","","이원정수장","2025-08-05 15:57:25","U","2025-08-07 02:40:00","","385829.169944574","444161.840950425","소독용","해당없음","200","0","",
"257","특정고압가스업","09_28_14_P","4221000","1994422007212200001","1994-01-26","","03","폐업","2","폐지","2016-01-11","","","","","","","강원특별자치도 태백시 소도동 240","강원특별자치도 태백시 태백산로 4642 (소도동)","","혈리정수장","2016-01-11 12:58:46","I","2023-06-13 00:00:00","","373130.615620993","404804.095712336","소독용","업무용","80","3","",
"258","특정고압가스업","09_28_14_P","4221000","1994422007212200002","1994-01-26","","03","폐업","2","폐지","2015-07-25","","","","","","","강원특별자치도 태백시 화전동 117-2","강원특별자치도 태백시 굴거랑길 12 (화전동)","","화전정수장","2015-07-26 10:12:36","I","2023-06-13 00:00:00","","374074.92397125","412846.308470165","소독용","업무용","80","3","",
"259","특정고압가스업","09_28_14_P","4221000","1994422007212200003","1994-01-26","","03","폐업","2","폐지","2015-07-25","","","","","","","강원특별자치도 태백시 원동 1-1","강원특별자치도 태백시 역둔원동로 1407-10 (원동)","","원동정수장","2015-07-26 10:13:06","I","2023-06-13 00:00:00","","375934.880256367","419102.558763437","소독용","업무용","80","3","",
"260","특정고압가스업","09_28_14_P","4221000","1994422007212200004","1994-01-26","","03","폐업","2","폐지","2016-01-11","","","","","","","강원특별자치도 태백시 백산동 174-1","강원특별자치도 태백시 동태백로 961-33 (백산동)","","백산정수장","2016-01-11 13:00:14","I","2023-06-13 00:00:00","","380566.850348571","406925.095612858","소독용","업무용","80","3","",
"261","특정고압가스업","09_28_14_P","4221000","1994422007212200005","1994-01-26","","03","폐업","2","폐지","2016-01-11","","","","","","","강원특별자치도 태백시 소도동 산 72-8","강원특별자치도 태백시 천제단길 203-18 (소도동)","","당골정수장","2016-01-11 12:59:52","I","2023-06-13 00:00:00","","373277.572783431","403404.866991871","소독용","업무용","80","3","",
"262","특정고압가스업","09_28_14_P","4231000","2002423001002700001","2002-04-26","","03","폐업","2","폐지","2016-04-26","","","","033 6392559","","","강원특별자치도 속초시 노학동 365-3","","","속초시상수도사업소노학암반관정","2016-06-21 17:14:02","I","2023-06-13 00:00:00","","","","정수소독용","기계적 투입","80","0","",
"263","특정고압가스업","09_28_14_P","4231000","2015423007812200001","2015-09-07","","03","폐업","2","폐지","","","","","","","","","강원특별자치도 속초시 울산바위길 66-43 (노학동)","","학사평정수장","2017-02-28 16:30:31","I","2023-06-13 00:00:00","","331795.145019502","523245.519649329","먹는물 소독","기계적 투입","250","4","",
"264","특정고압가스업","09_28_14_P","4231000","2015423007812200002","2015-09-07","","03","폐업","2","폐지","2016-01-22","","","","","","","","강원특별자치도 속초시 설악산로 836-57 (설악동)","","설악정수장","2016-01-26 08:43:04","I","2023-06-13 00:00:00","","","","먹는물 소독","기계적 투입","50","3","",
"265","특정고압가스업","09_28_14_P","4241000","1995424001002700002","1995-01-01","","03","폐업","2","폐지","2019-07-17","","","","5413469","","","강원특별자치도 삼척시 도계읍 마교리","","","마교정수장","2019-07-17 10:48:34","I","2023-06-13 00:00:00","","","","살균소독","-","100","3","",
"266","특정고압가스업","09_28_14_P","4241000","1995424001002700007","1995-01-01","","03","폐업","2","폐지","","","","","5730922","","","강원특별자치도 삼척시 근덕면 장호리 360","","","장호정수장","2013-12-31 16:15:00","I","2023-06-13 00:00:00","","404747.04540415","422206.87989877","2003. 2. 28 시설폐쇄","-","100","0","",
"267","특정고압가스업","09_28_14_P","4241000","2009424011312200007","2001-07-11","","03","폐업","2","폐지","2020-06-30","","","","","","","강원특별자치도 삼척시 근덕면 동막리 963 1","강원특별자치도 삼척시 근덕면 문의재로 3582","","동막정수장","2020-06-30 17:10:47","I","2023-06-13 00:00:00","","397266.391854447","427554.493362798","살균소독용","-","100","3","",
"268","특정고압가스업","09_28_14_P","4241000","2018424019212200001","2018-03-15","","03","폐업","2","폐지","2019-12-26","","","","","","","강원특별자치도 삼척시 원덕읍 임원리 산 202-1","강원특별자치도 삼척시 원덕읍 임원안1길 76-35","25956","임원정수장","2019-12-26 10:37:56","I","2023-06-13 00:00:00","","407344.325956794","417755.692937032","2019.12.26 시설폐쇄","-","60","0","",
"269","특정고압가스업","09_28_14_P","4241000","2018424019212200002","2018-03-15","","03","폐업","2","폐지","2020-06-30","","","","","","","강원특별자치도 삼척시 원덕읍 옥원리 286","강원특별자치도 삼척시 원덕읍 옥원길 12-30","25957","옥원정수장","2020-06-30 17:03:12","I","2023-06-13 00:00:00","","406334.700249376","411829.152194267","살균 및 소독","정수장 소족","60","3","",
"270","특정고압가스업","09_28_14_P","4251000","1987425004202787110","1987-01-17","","03","폐업","2","폐지","2011-08-19","","","","033 4322804","","","강원특별자치도 홍천군 화촌면 성산리 856-1","강원특별자치도 홍천군 화촌면 산초울로 164-37","","화촌면상수도","2016-05-02 13:30:23","I","2023-06-13 00:00:00","","285589.17671994","474605.233145961","--","---","0","1","",
"271","특정고압가스업","09_28_14_P","4251000","2001425004202709915","1985-01-07","","03","폐업","2","폐지","2011-10-27","","","","033 4324309","","","강원특별자치도 홍천군 남면 양덕원리 52-2","강원특별자치도 홍천군 남면 시동로 50","","남면상수도","2016-05-02 13:30:40","I","2023-06-13 00:00:00","","267999.036322221","456813.196124073","소독용","--","10","1","",
"272","특정고압가스업","09_28_14_P","4251000","2004425004202700001","2004-06-02","","03","폐업","2","폐지","2016-05-09","","","","033 4350473","","","강원특별자치도 홍천군 두촌면 철정리 산 90","강원특별자치도 홍천군 두촌면 아홉사리로 53","","국군홍천병원","2016-05-09 17:30:55","I","2025-04-02 13:21:48","","287751.305025245","478542.141517348","의료용","중앙공급장치","1200","300","",
"273","특정고압가스업","09_28_14_P","4251000","2017425012112200001","2017-03-16","","03","폐업","2","폐지","2018-02-13","","","","","","","강원특별자치도 홍천군 홍천읍 갈마곡리 466-1","강원특별자치도 홍천군 홍천읍 산림공원1길 17","","홍천아산병원","2018-02-13 14:40:25","I","2023-06-13 00:00:00","","278852.231568625","465755.841290153","의료용","의료용","3300","150","",
"274","특정고압가스업","09_28_14_P","4261000","2006426000902700002","2006-05-30","","03","폐업","2","폐지","2018-11-15","","","","033 3455550","","","강원특별자치도 횡성군 우천면 양적리 37-2","","","(주)베스트메탈워크","2018-11-15 22:00:57","I","2023-06-13 00:00:00","","","","제품생산","장비투입","1000","1","",
"275","특정고압가스업","09_28_14_P","4281000","2017428009412200002","2017-08-14","","03","폐업","2","폐지","2024-04-02","","","","","","","강원특별자치도 평창군 미탄면 백운리 436-1","강원특별자치도 평창군 미탄면 창터길 48","","백운송어양식장","2024-10-23 11:34:20","U","2024-10-25 02:40:00","","336325.380408171","426514.272461957","내수면 양식용","내수면 양식용","10000","0","",
"276","특정고압가스업","09_28_14_P","4291000","2007429004002700001","2007-02-16","","03","폐업","2","폐지","2018-04-03","","","","033 5902518","","","강원특별자치도 정선군 사북읍 사북리 605-16","","","의료법인 사북연세병원","2018-04-03 17:30:08","I","2023-06-13 00:00:00","","","","의료용","액체산소 기화사용","1000","0","",
"277","특정고압가스업","09_28_14_P","4301000","2006430005502700002","2006-07-19","","03","폐업","2","폐지","2017-12-08","","","","033 4580582","","","강원특별자치도 철원군 갈말읍 지경리 107-20","","","육군제5283부대","2017-12-08 15:26:41","I","2023-06-13 00:00:00","","","","공공용","저장소","460","2","",
"278","특정고압가스업","09_28_14_P","4301000","2013430006912200001","2013-10-02","","03","폐업","2","폐지","2017-11-22","","","","","","","강원특별자치도 철원군 갈말읍 내대리 467","","","육군제3355부대","2021-06-24 09:33:43","I","2023-06-13 00:00:00","","227222.224824701","521675.251753714","군사임무수행","풍선(기구)비양","200","2","",
"279","특정고압가스업","09_28_14_P","4301000","2016430008512200001","2016-07-04","","03","폐업","2","폐지","2020-03-18","","","","","","","","강원특별자치도 철원군 갈말읍 명성로 208 (철원길병원(관리과))","","철원병원","2020-03-18 10:11:46","I","2023-06-13 00:00:00","","226929.100240543","516412.772602971","의료용","의료용
변경신청에 의한 자료중복등록으로 
2020.03.18 신규자료등록으로인한 기존 전산자료 폐지처리","400","200","",
"280","특정고압가스업","09_28_14_P","4311000","2000431000702700001","2000-09-18","","03","폐업","2","폐지","2017-01-04","","","","003 4422090","","","강원특별자치도 화천군 화천읍 상리 3통6반","","","화천정수장","2017-01-04 10:54:24","I","2023-06-13 00:00:00","","","","소독","고정식","150","10","",
"281","특정고압가스업","09_28_14_P","4311000","2000431000702700002","2000-09-18","","03","폐업","2","폐지","2017-01-04","","","","033 4426162","","","강원특별자치도 화천군 상서면 산양리 506-1","강원특별자치도 화천군 상서면 산양길 26-9","","산양정수장","2017-01-04 10:54:58","I","2023-06-13 00:00:00","","258081.607430825","523119.155091021","소독","고정식","150","10","",
"282","특정고압가스업","09_28_14_P","4311000","2000431000702700003","2000-09-18","","03","폐업","2","폐지","2015-08-07","","","","033 4414368","","","강원특별자치도 화천군 사내면 사창리 213-2","강원특별자치도 화천군 사내면 사내로1길 40","","사창정수장","2015-08-07 17:01:39","I","2023-06-13 00:00:00","","246015.84898001","507481.279317995","소독","고정식","150","10","",
"283","특정고압가스업","09_28_14_P","4311000","2007431005212200001","2007-12-11","","03","폐업","2","폐지","2016-08-10","","","","","","","강원특별자치도 화천군 상서면 노동리 사서함 104동 18호","","","7사단포병연대","2016-08-10 13:26:48","I","2023-06-13 00:00:00","","","","기상측정용 기구운용","기상측정용","192","3","",
"284","특정고압가스업","09_28_14_P","4311000","2008431005212200001","2008-05-13","","03","폐업","2","폐지","2017-10-16","","","","","","","강원특별자치도 화천군 상서면 다목리 사서함 99-17호","","","제15보병사단 포병연대","2017-10-16 16:13:55","I","2023-06-13 00:00:00","","","","기상관측장비 운용","전시에 기상관측장비로 운용","0","0","",
"285","특정고압가스업","09_28_14_P","4311000","2010431005212200001","2010-05-24","","03","폐업","2","폐지","2015-08-28","","","","","","","강원특별자치도 화천군 상서면 다목리 사서함 99-17","","","제15보병사단 포병연대(육군9915부대)","2017-10-16 16:06:29","I","2023-06-13 00:00:00","","","","기상관측장비 운용","전시에 기상관측장비로 운영","0","0","",
"286","특정고압가스업","09_28_14_P","4321000","2014432004712200001","2014-10-02","","03","폐업","2","폐지","2019-10-31","","","","","","","강원특별자치도 양구군 동면 월운리 318","","","동면정수장","2019-11-20 12:55:40","I","2023-06-13 00:00:00","","291169.021764467","526773.454818356","상수도 소독용","여과지후 정수지 전에서 염소주입장치 이용주입
19-10-22 특정고압가스폐지:염소가스소독설비를 차염소독설비로 전환","200","0","",
"287","특정고압가스업","09_28_14_P","4321000","2014432004712200002","2014-10-02","","03","폐업","2","폐지","2019-10-31","","","","","","","강원특별자치도 양구군 방산면 건솔리 산 0","","","방산정수장","2019-11-20 12:55:51","I","2023-06-13 00:00:00","","","","상수도 소독용","여과지후 정수지 전에서 염소주입장치 이용 주입
19-10-22 특정고압가스폐지:염소가스소독설비를 차염소독설비로 전환","150","0","",
"288","특정고압가스업","09_28_14_P","4321000","2014432004712200003","2014-10-02","","03","폐업","2","폐지","2019-10-15","","","","","","","강원특별자치도 양구군 해안면 만대리 1987-1","","","해안면 마을상수도","2019-12-10 15:31:16","I","2023-06-13 00:00:00","","298238.461274928","529060.470946579","상수도 소독용","여과지후 정수지 전에서 염소주입장치 이용
19-10-22 특정고압가스폐지:염소가스소독설비를 차염소독설비로 전환","150","0","",
"289","특정고압가스업","09_28_14_P","4321000","2006432002902700002","2006-10-31","","03","폐업","2","폐지","2016-12-23","","","","","","","강원특별자치도 양구군 동면 임당리 사서함97-18","","","제7025부대 기상반","2016-12-26 16:21:42","I","2025-04-02 13:21:48","","","","탄로풍 측정","기구주입/비양","180","5","",
"290","특정고압가스업","09_28_14_P","4321000","2007432003912200001","2007-12-17","","03","폐업","2","폐지","2016-12-23","","","","","","","강원특별자치도 양구군 동면 덕곡리 사서함 97-18호","","","제7025부대 기상반","2016-12-26 16:22:02","I","2025-04-02 13:21:48","","","","탄도풍측정, 기구주입 및 비양","탄도풍측정, 기구주입 및 비양","180","5","",
"291","특정고압가스업","09_28_14_P","4321000","2009432004712200003","2009-06-26","","03","폐업","2","폐지","2019-11-18","","","","","","","강원특별자치도 양구군 양구읍 죽곡리 108-6","","","제1729-03부대 보급수송대대","2019-11-20 15:02:01","I","2023-06-13 00:00:00","","","","저장 및 불출","미사용으로 인한 특정고압가스 폐지","50","100","",
"292","특정고압가스업","09_28_14_P","4331000","2008433004112200001","2008-02-01","","03","폐업","2","폐지","2017-10-17","","","","","","","강원특별자치도 인제군 서화면 천도리 사서함 100-26호","","","육군 제8227부대","2017-10-17 15:12:47","I","2023-06-13 00:00:00","","","","기상반","수소가스충만기구운용","120","2","",
"293","특정고압가스업","09_28_14_P","4331000","2008433006412200001","2008-07-07","","03","폐업","2","폐지","2017-06-19","","","","","","","강원특별자치도 인제군 서화면 서흥리 사서함 100동 17호","","","육군 제8512부대","2017-06-20 11:39:37","I","2023-06-13 00:00:00","","","","수소","전량교체","10","0","",
"294","특정고압가스업","09_28_14_P","4351000","2007435005012200005","2007-01-29","","03","폐업","2","폐지","2018-05-17","","","","","","","강원특별자치도 양양군 서면 오색리 산 45","","","오색정수장","2019-02-19 17:23:33","I","2023-06-13 00:00:00","","330010.972372242","509360.737737837","소독","상수도",".3","2","",
