"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"2247","의원","01_01_02_P","4271000","PHMA120084270014041100001","2008-04-14","","04","취소/말소/만료/정지/중지","24","직권폐업","2010-12-31","","","","033-373-1477","","230-802","강원특별자치도 영월군 영월읍 덕포리 486-33","","","덕포연합의원","2015-12-29 14:25:57","I","2023-06-13 00:00:00","의원","","","의원","1","2","8","237.62","101 104 106 105 111 115 120","내과, 외과, 정형외과, 신경외과, 소아청소년과, 비뇨의학과, 재활의학과","","","","0","0","","","0","",
"2248","의원","01_01_02_P","4281000","PHMA119904280009041100002","1990-05-22","","03","폐업","03","폐업","2016-12-01","2016-06-15","2016-12-14","","033-335-4409","","232-948","강원특별자치도 평창군 진부면 하진부리 206-96","강원특별자치도 평창군 진부면 진부시장뒷길 60","25325","손한의원","2016-12-01 10:52:14","I","2023-06-13 00:00:00","한의원","337507.964877842","460684.937083639","한의원","1","0","0","177.95","301","한방내과","","","","0","0","","","0","",
"2249","의원","01_01_02_P","4281000","PHMA120004280009041100001","2000-10-02","","03","폐업","03","폐업","2021-04-22","2021-04-22","","","033-335-1112","","232-947","강원특별자치도 평창군 진부면 송정리 2537","강원특별자치도 평창군 진부면 송정택지1길 35","25331","진부정형외과의원","2021-05-12 13:19:52","I","2023-06-13 00:00:00","의원","337930.997150615","460597.349413005","의원","1","7","28","588.05","105 101 114 115 111 104","내과, 외과, 정형외과, 소아청소년과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"2250","의원","01_01_02_P","4281000","PHMA120014280009041100002","2001-09-05","","03","폐업","03","폐업","2014-02-03","","","","033-334-2027","","232-807","강원특별자치도 평창군 평창읍 하리 159","강원특별자치도 평창군 평창읍 백오로 109-10","232-801","성애의원","2014-02-03 13:09:24","I","2023-06-13 00:00:00","의원","323603.350139265","430484.091912168","의원","1","0","0","155.41","101 104 111","내과, 외과, 소아청소년과","","","","0","0","","","0","",
"2251","의원","01_01_02_P","4281000","PHMA120054280009041100002","2005-06-03","","03","폐업","03","폐업","2012-03-31","","","","033-333-8275","","232-807","강원특별자치도 평창군 평창읍 하리 168-7","강원특별자치도 평창군 평창읍 노성로 101","232-808","오륜한의원","2012-03-27 10:40:12","I","2023-06-13 00:00:00","한의원","323573.511013853","430527.759295639","한의원","1","0","0","187.68","301","한방내과","","","","0","0","","","0","",
"2252","의원","01_01_02_P","4281000","PHMA120054280009041100003","2005-06-18","","03","폐업","03","폐업","2014-02-18","","","","033-336-2875","","232-954","강원특별자치도 평창군 대관령면 횡계리 324-4","강원특별자치도 평창군 대관령면 대관령로 91","232-954","횡계치과의원","2014-02-19 12:47:49","I","2023-06-13 00:00:00","치과의원","350507.595066375","464752.125506075","치과의원","1","0","0","156.56","401","치과","","","","0","0","","","0","",
"2253","의원","01_01_02_P","4281000","PHMA120064280009041100001","2006-02-01","","03","폐업","03","폐업","2010-01-11","","","","033-333-5297","","232-807","강원특별자치도 평창군 평창읍 하리 72번지 2호","강원특별자치도 평창군 평창읍 송학로 40","","정다운의원","2010-01-11 16:52:59","I","2023-06-13 00:00:00","의원","323324.40728536","430456.979098658","의원","1","0","0","179.72","101 104 111","내과, 외과, 소아청소년과","","","","0","0","","","0","",
"2254","의원","01_01_02_P","4281000","PHMA120074280009041100001","2007-02-14","","03","폐업","03","폐업","2025-05-26","","","","033-336-1383","","232-949","강원특별자치도 평창군 진부면 하진부리","강원특별자치도 평창군 진부면 진부중앙로 68, 2층","25332","웅치과의원","2025-05-28 17:40:42","U","2025-05-30 02:40:00","치과의원","337527.103920431","460575.539236477","치과의원","1","0","0","172.38","412 411 407 406 405 403 402","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"2255","의원","01_01_02_P","4281000","PHMA120074280009041100002","2007-04-23","","03","폐업","03","폐업","2024-12-15","","","","033-335-7253","","232-948","강원특별자치도 평창군 진부면 하진부리 87번지 1호 2층","강원특별자치도 평창군 진부면 진부중앙로 80, 2층","25332","미소치과의원","2025-01-07 17:45:34","U","2025-01-09 02:40:00","치과의원","337605.822802717","460691.217933619","치과의원","1","0","0","42.57","401","치과","","","","0","0","","","0","",
"2256","의원","01_01_02_P","4281000","PHMA120084280009041100001","2008-04-11","","03","폐업","03","폐업","2015-04-30","","","","033-333-7728","","232-807","강원특별자치도 평창군 평창읍 하리 168-7","강원특별자치도 평창군 평창읍 노성로 101","232-808","우리들치과의원","2015-04-30 15:01:29","I","2023-06-13 00:00:00","치과의원","323573.511013853","430527.759295639","치과의원","1","0","0","175.47","401","치과","","","","0","0","","","0","",
"2257","의원","01_01_02_P","4281000","PHMA120084280009041100003","2008-11-06","","03","폐업","03","폐업","2010-04-16","","","","033-333-6114","","232-912","강원특별자치도 평창군 대화면 대화리 1006번지","","","편한의원","2010-04-16 12:09:32","I","2023-06-13 00:00:00","의원","328546.241411583","445058.714557925","의원","1","0","0","176.48","101 104 114","내과, 외과, 피부과","","","","0","0","","","0","",
"2258","의원","01_01_02_P","4281000","PHMA120094280009041100001","2009-03-11","","03","폐업","03","폐업","2009-09-04","","","","334-6777","","232-933","강원특별자치도 평창군 용평면 장평리 355번지 1호","강원특별자치도 평창군 용평면 금송1길 27","","장평임마취통증의학과의원","2009-09-04 14:50:39","I","2023-06-13 00:00:00","의원","324816.218606642","454695.890460549","의원","1","0","0","200","101 109 105 106 115 114 111","내과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"2259","의원","01_01_02_P","4281000","PHMA120084280009041100004","2008-12-02","","03","폐업","03","폐업","2014-11-27","","","","033-335-2238~9","","232-949","강원특별자치도 평창군 진부면 하진부7리 206번지 127호","강원특별자치도 평창군 진부면 진부시장뒷길 66","232-948","중앙의원","2014-11-26 11:55:40","I","2023-06-13 00:00:00","의원","337523.370304195","460674.830728643","의원","1","0","0","408.78","104 101 105","내과, 외과, 정형외과","","","","0","0","","","0","",
"2260","의원","01_01_02_P","4281000","PHMA120104280009041100001","2010-08-30","","03","폐업","03","폐업","2011-03-22","","","","033-333-5297","","232-807","강원특별자치도 평창군 평창읍 하리 72번지 2호","강원특별자치도 평창군 평창읍 송학로 40","","평창서울의원","2011-03-22 13:33:49","I","2023-06-13 00:00:00","의원","323324.40728536","430456.979098658","의원","1","0","0","191.78","101 104 113 122 105 106 114","내과, 외과, 정형외과, 신경외과, 이비인후과, 피부과, 가정의학과","","","","0","0","","","0","",
"2261","의원","01_01_02_P","4281000","PHMA119854280009041100001","1985-05-20","","03","폐업","03","폐업","2018-11-15","","","","033-336-6128","","232-807","강원특별자치도 평창군 진부면 하진부리 166-11","강원특별자치도 평창군 진부면 석두로 12-6","25333","진부보건지소","2018-11-20 11:54:26","I","2023-06-13 00:00:00","보건지소","337099.220873394","460383.058433856","보건지소","1","0","0","347.73","101","내과","","","","0","0","","","0","",
"2262","의원","01_01_02_P","4281000","PHMA119834280009041100001","1983-12-01","","03","폐업","03","폐업","2012-08-09","","","","033-335-7146","","232-948","강원특별자치도 평창군 진부면 하진부리 206-54","강원특별자치도 평창군 진부면 진부중앙로 91","232-948","진부치과의원","2012-08-09 17:01:48","I","2023-06-13 00:00:00","치과의원","337625.985546149","460799.451289021","치과의원","1","0","0","99.63","401","치과","","","","0","0","","","0","",
"2263","의원","01_01_02_P","4281000","PHMA120124280009041100002","2012-01-16","","03","폐업","03","폐업","2015-03-13","","","","033-336-1075","","232-948","강원특별자치도 평창군 진부면 하진부리","강원특별자치도 평창군 진부면 진부중앙로 60","232-948","우리한의원","2015-03-13 17:32:52","I","2023-06-13 00:00:00","한의원","337485.044803034","460517.859180788","한의원","1","0","0","176","304 307 302 305 308 301 303 306","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"2264","의원","01_01_02_P","4281000","PHMA120024280009041100003","2002-11-19","","03","폐업","03","폐업","2013-04-22","","","","033-336-7582","","232-954","강원특별자치도 평창군 대관령면 횡계리 365-26","강원특별자치도 평창군 대관령면 대관령로 86","232-956","대관령올림픽한의원","2013-04-22 09:09:52","I","2023-06-13 00:00:00","한의원","350428.490664765","464739.431274839","한의원","1","0","0","79.6","301","한방내과","","","","0","0","","","0","",
"2265","의원","01_01_02_P","4281000","PHMA120134280009041100001","2013-04-26","","03","폐업","03","폐업","2020-04-01","","","","0333340081","","","","강원특별자치도 평창군 대화면 남산2길 5, 2층","25358","대화연세의원","2020-03-30 10:29:01","I","2023-06-13 00:00:00","의원","328638.656261534","445336.977569313","의원","1","0","0","160","101 104 111","내과, 외과, 소아청소년과","","","","0","0","","","0","",
"2266","의원","01_01_02_P","4281000","PHMA120164280009041100001","2016-04-28","","03","폐업","03","폐업","2021-08-31","","","","334-0105","","","","강원특별자치도 평창군 평창읍 평창중앙로 36","25376","백오한의원","2021-08-31 14:35:44","I","2023-06-13 00:00:00","한의원","323584.830787619","430403.784607766","한의원","1","0","0","89.1","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"2267","의원","01_01_02_P","4281000","PHMA120164280009041100003","2016-07-27","","03","폐업","03","폐업","2023-09-01","","","","033-336-7017","","","","강원특별자치도 평창군 진부면 진부중앙로 84","25332","박찬우신경외과의원","2023-09-07 22:43:19","U","2023-09-09 02:40:00","의원","337623.354982151","460720.489876386","의원","1","0","0","146","120 115 114 109 106 105 102 101","내과, 신경과, 정형외과, 신경외과, 마취통증의학과, 피부과, 비뇨의학과, 재활의학과","","","","0","0","","","0","",
"2268","의원","01_01_02_P","4281000","PHMA120174280009041100001","2017-02-28","","03","폐업","03","폐업","2017-11-17","","","","033-335-8821","","","","강원특별자치도 평창군 봉평면 기풍로 137","25304","봉평중앙의원","2019-10-04 10:18:20","I","2023-06-13 00:00:00","의원","321606.177786978","457849.758964282","의원","1","0","0","99.12","122 115 114 111 109 101","내과, 마취통증의학과, 소아청소년과, 피부과, 비뇨의학과, 가정의학과","","","","0","0","","","0","",
"2269","의원","01_01_02_P","4281000","PHMA120194280009041100001","2019-08-21","","03","폐업","03","폐업","2020-05-10","","","","","","","강원특별자치도 평창군 용평면 재산리 1591번지","강원특별자치도 평창군 용평면 금당길 212","25317","퓨라비다한의원","2020-06-03 13:29:24","I","2023-06-13 00:00:00","한의원","324637.027832019","453060.699864421","한의원","1","0","0","130.5","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"2270","의원","01_01_02_P","4281000","PHMA119784280009041100001","1978-11-02","","03","폐업","03","폐업","2011-03-31","","","","033-333-2409","","232-912","강원특별자치도 평창군 대화면 대화리 978-1","","","대화의원","2013-12-03 16:49:43","I","2023-06-13 00:00:00","의원","","","의원","2","0","12","284.1","101 104 105 111 114 115","내과, 외과, 정형외과, 소아청소년과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"2271","의원","01_01_02_P","4281000","PHMA119864280009041100001","1986-02-20","","03","폐업","03","폐업","2020-12-15","","","","033-335-8179","","232-948","강원특별자치도 평창군 진부면 하진부리 117","강원특별자치도 평창군 진부면 진부중앙로 64","25332","김인창치과의원","2020-12-16 17:34:09","I","2023-06-13 00:00:00","치과의원","337514.75338321","460561.330318183","치과의원","1","0","0","86","401","치과","","","","0","0","","","0","",
"2272","의원","01_01_02_P","4281000","PHMA120154280009041100004","2015-07-15","","03","폐업","03","폐업","2017-07-11","","","","033-334-1511","","","","강원특별자치도 평창군 대관령면 대관령로 104, 2층","25346","횡계고려의원","2017-07-04 22:16:22","I","2023-06-13 00:00:00","의원","350637.935191569","464674.95061665","의원","2","0","0","122.64","122 115 114 113 109 105 104 101","내과, 외과, 정형외과, 마취통증의학과, 이비인후과, 피부과, 비뇨의학과, 가정의학과","","","","0","0","","","0","",
"2273","의원","01_01_02_P","4281000","PHMA119864280009041100004","1986-12-30","","01","영업/정상","13","영업중","","","","","033-332-6125","","232-948","강원특별자치도 평창군 대화면 대화리 1172-1","강원특별자치도 평창군 대화면 남산1길 36","25358","대화보건지소","2018-05-01 18:01:04","I","2023-06-13 00:00:00","보건지소","328828.221717503","445357.170087499","보건지소","2","0","0","349.5","101","내과","","","","0","0","","","0","",
"2274","의원","01_01_02_P","4281000","PHMA119894280009041100001","1989-09-09","","01","영업/정상","13","영업중","","","","","033-332-3132","","","강원특별자치도 평창군 진부면 하진부리 101번지","강원특별자치도 평창군 진부면 진부중앙로 74-2, 2층","25332","양성진치과의원","2025-02-19 17:19:47","U","2025-02-21 02:40:00","치과의원","337562.747708605","460620.481265529","치과의원","1","0","0","184.39","409 408 407 406 405 403 402","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과","","","","0","0","","","0","",
"2275","의원","01_01_02_P","4281000","PHMA119934280009041100001","1993-04-12","","01","영업/정상","13","영업중","","","","","033-335-7135","","","","강원특별자치도 평창군 진부면 진부시장뒷길 14","25325","진부한의원","2017-11-07 15:18:16","I","2023-06-13 00:00:00","한의원","337362.570471549","460556.827436274","한의원","1","0","0","269.1","301 302 303 304 305 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과","","","","0","0","","","0","",
"2276","의원","01_01_02_P","4281000","PHMA119964280009041100001","1996-01-05","","01","영업/정상","13","영업중","","","","","033-336-8052","","232-954","강원특별자치도 평창군 대관령면 횡계리 321-9","강원특별자치도 평창군 대관령면 축제길 40","25346","횡계의원","2018-09-14 12:21:58","I","2023-06-13 00:00:00","의원","350618.765378244","464628.743590066","의원","2","0","0","195.2","101 104 109 111","내과, 외과, 마취통증의학과, 소아청소년과","","","","0","0","","","0","",
"2277","의원","01_01_02_P","4281000","PHMA120014280009041100001","2001-02-19","","01","영업/정상","13","영업중","","","","","033-334-8877","","","","강원특별자치도 평창군 평창읍 평창중앙로 47","25376","평창의원","2023-10-13 02:43:20","U","2023-10-15 02:40:00","의원","323523.328358498","430475.566953109","의원","2","0","0","101.2","104 105 111 115","외과, 정형외과, 소아청소년과, 비뇨의학과","","","","0","0","","","0","",
"2278","의원","01_01_02_P","4281000","PHMA120024280009041100002","2002-10-08","","01","영업/정상","13","영업중","","","","","033-332-7582","","","","강원특별자치도 평창군 대화면 대화중앙로 126","25358","대화한의원","2024-04-15 16:22:49","U","2024-04-17 02:40:00","한의원","328634.859460854","445215.434768783","한의원","1","0","0","95.4","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"2279","의원","01_01_02_P","4281000","PHMA120044280009041100001","2004-04-27","","01","영업/정상","13","영업중","","","","","033-335-8275","","232-925","강원특별자치도 평창군 봉평면 창동리 291-1","강원특별자치도 평창군 봉평면 기풍로 134","25303","우리의원","2018-09-14 12:19:21","I","2023-06-13 00:00:00","의원","321647.24198627","457794.286332939","의원","1","0","0","132.43","101 104 111 105 114","내과, 외과, 정형외과, 소아청소년과, 피부과","","","","0","0","","","0","",
"2280","의원","01_01_02_P","4281000","PHMA120054280009041100004","2005-12-07","","01","영업/정상","13","영업중","","","","","033-335-8863","","232-925","강원특별자치도 평창군 봉평면 창동리 376-5","강원특별자치도 평창군 봉평면 기풍로 169","25304","장생한의원","2024-04-15 16:43:08","U","2024-04-17 02:40:00","한의원","321475.227005986","458108.50970154","한의원","1","0","0","106.8","301 302 303 304 305 306 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과","","","","0","0","","","0","",
"2281","의원","01_01_02_P","4281000","PHMA120064280009041100002","2006-10-23","","01","영업/정상","13","영업중","","","","","033-334-7582","","232-933","","강원특별자치도 평창군 용평면 경강로 1638, 2층","25315","장평한의원","2023-01-11 08:21:30","I","2023-06-13 00:00:00","한의원","324883.23626201","454511.323274534","한의원","1","0","0","115.58","301 302 303 308 305","한방내과, 한방부인과, 한방소아과, 한방신경정신과, 침구과","","","","0","0","","","0","",
"2282","의원","01_01_02_P","4281000","PHMA120084280009041100002","2008-10-16","","01","영업/정상","13","영업중","","","","","033-332-7511","","","","강원특별자치도 평창군 평창읍 백오로 60","25376","건영한의원","2023-11-02 20:43:56","U","2023-11-04 02:40:00","한의원","323351.234937621","430420.86622635","한의원","2","0","0","218.82","308 306 303 302 301","한방내과, 한방부인과, 한방소아과, 한방재활의학과, 침구과","","","","0","0","","","0","",
"2283","의원","01_01_02_P","4281000","PHMA120094280009041100002","2009-04-01","","01","영업/정상","13","영업중","","","","","033-334-1934","","232-948","강원특별자치도 평창군 진부면 하진부리 118번지 1호 2층","강원특별자치도 평창군 진부면 진부중앙로 56, 2층","25332","진부성심의원","2017-09-05 18:37:06","I","2023-06-13 00:00:00","의원","337466.054935936","460487.627212703","의원","1","0","0","161.37","101 104 111 110 122","내과, 외과, 산부인과, 소아청소년과, 가정의학과","","","","0","0","","","0","",
"2284","의원","01_01_02_P","4281000","PHMA120104280009041100002","2010-09-24","","01","영업/정상","13","영업중","","","","","033-333-6114","","","강원특별자치도 평창군 대화면 대화리 1006","강원특별자치도 평창군 대화면 대화1길 17","25359","편한의원","2024-02-16 11:15:34","U","2024-02-18 02:40:00","의원","328546.241411583","445058.714557925","의원","1","0","0","479.7","101 104 105 106 120 113 115","내과, 외과, 정형외과, 신경외과, 이비인후과, 비뇨의학과, 재활의학과","","","","0","0","","","0","",
"2285","의원","01_01_02_P","4281000","PHMA119954280009041100001","1995-05-03","","01","영업/정상","13","영업중","","","","","033-333-3492","","232-807","강원특별자치도 평창군 평창읍 하리 137-18","강원특별자치도 평창군 평창읍 백오로 56","25376","임재윤치과의원","2025-02-24 09:49:08","U","2025-02-26 02:40:00","치과의원","323335.245387477","430422.124460762","치과의원","1","0","0","93.6","407 406 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과","","","","0","0","","","0","",
"2286","의원","01_01_02_P","4281000","PHMA119974280009041100001","1997-06-26","","01","영업/정상","13","영업중","","","","","033-336-5577","","232-948","강원특별자치도 평창군 진부면 하진부리 88번지 1호","강원특별자치도 평창군 진부면 진부중앙로 88","25332","서울의원","2017-09-05 18:37:06","I","2023-06-13 00:00:00","의원","337657.807922781","460756.489759844","의원","1","0","0","332.5","104 101 105 111 114 115 112","내과, 외과, 정형외과, 소아청소년과, 안과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"2287","의원","01_01_02_P","4281000","PHMA119904280009041100001","1990-04-20","","01","영업/정상","13","영업중","","","","","033-333-3812","","232-917","강원특별자치도 평창군 대화면 대화리 1178번지 11호","강원특별자치도 평창군 대화면 대화중앙로 140-1","25358","부부치과의원","2025-02-19 17:10:36","U","2025-02-21 02:40:00","치과의원","328606.608555534","445364.928039375","치과의원","1","0","0","84.5","412 411 409 408 407 406 405 403 402","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"2288","의원","01_01_02_P","4281000","PHMA119864280009041100002","1986-06-20","","01","영업/정상","13","영업중","","","","","033-336-6126","","232-948","강원특별자치도 평창군 봉평면 창동리 333-2","강원특별자치도 평창군 봉평면 기풍8길 32-4","25303","봉평보건지소","2018-09-21 10:37:20","I","2023-06-13 00:00:00","보건지소","321845.542230025","458017.474319919","보건지소","2","0","0","415.7","101","내과","","","","0","0","","","0","",
"2289","의원","01_01_02_P","4281000","PHMA120124280009041100001","2012-01-09","","01","영업/정상","13","영업중","","","","","033-336-2884","","","","강원특별자치도 평창군 대관령면 눈마을길 39 (부띠끄올리브 몽떼2층,202-1)","25346","대관령치과의원","2024-11-25 13:29:30","U","2024-11-27 02:40:00","치과의원","350766.668321255","464633.352524967","치과의원","1","0","0","87.66","412 411 410 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"2290","의원","01_01_02_P","4281000","PHMA120134280009041100002","2013-06-26","","01","영업/정상","13","영업중","","","","","033-335-8818","","","","강원특별자치도 평창군 대관령면 눈마을길 23, 3층 (K빌딩)","25346","용평한의원","2025-08-01 10:43:33","U","2025-08-03 02:40:00","한의원","350791.141181458","464467.785564413","한의원","1","0","0","132.5","301 302 303 304 305 306 307 308 309","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과","","","","0","0","","","0","",
"2291","의원","01_01_02_P","4281000","PHMA120134280009041100003","2013-11-19","","01","영업/정상","13","영업중","","","","","0333358210","","232-948","강원특별자치도 평창군 진부면 하진부리 148번지 51호","강원특별자치도 평창군 진부면 청송로 87","25325","진부명인당한의원","2023-01-11 08:18:43","I","2023-06-13 00:00:00","한의원","337283.433870093","460521.295755964","한의원","1","0","0","130.37","301 302 303 304 308 305 306 307","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"2292","의원","01_01_02_P","4281000","PHMA120144280009041100002","2014-02-06","","01","영업/정상","13","영업중","","","","","334-2027","","","","강원특별자치도 평창군 평창읍 백오로 111","25376","소망의원","2025-08-14 21:43:15","U","2025-08-17 02:40:00","의원","323601.906811466","430454.965768731","의원","1","0","0","216","116 114 112 111 105 104 101","내과, 외과, 정형외과, 소아청소년과, 안과, 피부과, 영상의학과","","","","0","0","","","0","",
"2293","의원","01_01_02_P","4281000","PHMA120144280009041100001","2014-01-22","","01","영업/정상","13","영업중","","","","","033-332-2825","","","강원특별자치도 평창군 평창읍 하리 272-7","강원특별자치도 평창군 평창읍 군청길 44","25376","평창치과의원","2025-02-20 13:33:56","U","2025-02-22 02:40:00","치과의원","323074.782911596","430489.303768387","치과의원","1","0","0","145.2","409 407 406 403 402","구강악안면외과, 치과보철과, 치주과, 치과보존과, 영상치의학과","","","","0","0","","","0","",
"2294","의원","01_01_02_P","4281000","PHMA120144280009041100003","2014-03-06","","01","영업/정상","13","영업중","","","","","033-332-6559","","","","강원특별자치도 평창군 평창읍 문화길 35-8","25376","삼성연합의원","2024-04-26 03:13:22","U","2024-04-28 02:40:00","의원","323231.236055616","430394.803742364","의원","1","0","0","134.1","125 122 114 109 105 104 101","내과, 외과, 정형외과, 마취통증의학과, 피부과, 가정의학과, 응급의학과","","","","0","0","","","0","",
"2295","의원","01_01_02_P","4281000","PHMA120144280009041100004","2014-12-08","","01","영업/정상","13","영업중","","","","","033-335-0805","","","","강원특별자치도 평창군 진부면 진부시장뒷길 66","25325","중앙내과의원","2018-03-15 22:46:03","I","2023-06-13 00:00:00","의원","337523.370304195","460674.830728643","의원","1","0","0","408.78","101 113 111","내과, 소아청소년과, 이비인후과","","","","0","0","","","0","",
"2296","의원","01_01_02_P","4281000","PHMA120154280009041100001","2015-02-02","","01","영업/정상","13","영업중","","","","","033-335-2238","","","","강원특별자치도 평창군 진부면 청송로 107","25332","중앙의원","2021-01-07 21:43:15","I","2023-06-13 00:00:00","의원","337490.106291158","460505.034082981","의원","1","0","0","214","104 105 109 101 114","내과, 외과, 정형외과, 마취통증의학과, 피부과","","","","0","0","","","0","",
"2297","의원","01_01_02_P","4281000","PHMA120154280009041100002","2015-04-30","","01","영업/정상","13","영업중","","","","","033-333-7728","","","","강원특별자치도 평창군 평창읍 노성로 101","25374","우리들치과의원","2025-02-25 14:12:26","U","2025-02-27 02:40:00","치과의원","323573.511013853","430527.759295639","치과의원","1","0","0","175.47","412 411 409 408 407 406 405 403 402","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"2298","의원","01_01_02_P","4281000","PHMA119854280009041100004","1985-10-02","","01","영업/정상","13","영업중","","","","","033-336-5166","","","강원특별자치도 평창군 진부면 거문리 250번지","강원특별자치도 평창군 진부면 거문길 13-3 (거문보건진료소)","25335","거문보건진료소","2019-11-15 14:05:05","I","2023-06-13 00:00:00","보건진료소","335198.301948951","456709.309118733","보건진료소","1","0","0","150.04","","","","","","0","0","","","0","",
"2299","의원","01_01_02_P","4281000","PHMA119854280009041100005","1985-10-02","","01","영업/정상","13","영업중","","","","","033-336-5167","","","강원특별자치도 평창군 진부면 두일리 138번지 4호","강원특별자치도 평창군 진부면 방아다리로 338-3 (두일 보건진료소)","25321","두일보건진료소","2019-11-15 13:54:22","I","2023-06-13 00:00:00","보건진료소","337628.835875388","466091.27484619","보건진료소","1","0","0","156.24","","","","","","0","0","","","0","",
"2300","의원","01_01_02_P","4281000","PHMA119824280009041100002","1982-10-02","","01","영업/정상","13","영업중","","","","","033-332-5168","","","강원특별자치도 평창군 진부면 수항리 268번지 2호","강원특별자치도 평창군 진부면 오대천로 924 (수항보건진료소)","25337","수항보건진료소","2019-11-15 13:56:17","I","2023-06-13 00:00:00","보건진료소","338066.729673136","451970.759778313","보건진료소","1","0","0","157.32","","","","","","0","0","","","0","",
"2301","의원","01_01_02_P","4281000","PHMA119854280009041100006","1985-11-07","","01","영업/정상","13","영업중","","","","","033-336-5169","","","강원특별자치도 평창군 대관령면 용산리 392번지 1호","강원특별자치도 평창군 대관령면 큰터길 21 (용산보건진료소)","25348","용산보건진료소","2019-11-15 14:00:35","I","2023-06-13 00:00:00","보건진료소","346812.785852089","463324.480022151","보건진료소","1","0","0","117.54","","","","","","0","0","","","0","",
"2302","의원","01_01_02_P","4281000","PHMA119814280009041100003","1981-12-01","","01","영업/정상","13","영업중","","","","","033-332-5170","","","강원특별자치도 평창군 대관령면 유천리 742번지 3호","강원특별자치도 평창군 대관령면 전나무길 8 (유천보건진료소)","25350","유천보건진료소","2019-11-15 13:58:01","I","2023-06-13 00:00:00","보건진료소","341253.681219146","464371.591318031","보건진료소","1","0","0","157.26","","","","","","0","0","","","0","",
"2303","의원","01_01_02_P","4281000","PHMA119834280009041100004","1983-03-29","","01","영업/정상","13","영업중","","","","","033-332-6123","","","","강원특별자치도 평창군 미탄면 미탄문화길 37 (미탄보건소)","25382","미탄보건지소","2019-11-14 11:02:07","I","2023-06-13 00:00:00","보건지소","332830.999381999","427592.868860954","보건지소","1","0","0","397","","","","","","0","0","","","0","",
"2304","의원","01_01_02_P","4281000","PHMA119874280009041100001","1987-07-21","","01","영업/정상","13","영업중","","","","","0333302143","","","","강원특별자치도 평창군 방림면 방림1길 14 (방림보건지소)","25365","방림보건지소","2018-09-21 10:39:28","I","2023-06-13 00:00:00","보건지소","323140.611375179","437027.02272784","보건지소","1","0","0","400","","","","","","0","0","","","0","",
